,mouse_id,region,treatment,sex,time,density
501,15,MOs1,morphine,F,4h,17.669169368038457
502,16,MOs1,saline,F,4h,0.0
503,17,MOs1,morphine,M,1h,0.0
504,18,MOs1,saline,M,1h,4.740508854839586
505,19,MOs1,morphine,F,1h,25.85732102639774
506,20,MOs1,morphine,F,1h,6.464330256599435
507,21,MOs1,morphine,F,1h,10.342928410559097
508,22,MOs1,morphine,M,4h,92.6554003445919
509,23,MOs1,morphine,M,4h,0.0
510,24,MOs1,saline,F,1h,125.83896232846901
511,25,MOs1,saline,F,4h,8.619107008799247
512,26,MOs1,saline,F,4h,2.585732102639774
513,0,MOs2/3,morphine,M,1h,1807.197878573126
514,1,MOs2/3,morphine,M,4h,725.2449377430189
515,2,MOs2/3,saline,M,1h,3095.4999589930376
516,3,MOs2/3,saline,M,4h,615.630171871747
517,4,MOs2/3,morphine,F,4h,101.20308120009506
518,5,MOs2/3,saline,F,4h,17.086234488327737
519,6,MOs2/3,morphine,M,1h,64.13909561772257
520,7,MOs2/3,morphine,M,4h,34.69819926860402
521,8,MOs2/3,saline,M,4h,41.006962771986565
522,9,MOs2/3,morphine,F,4h,57.30460182239149
523,10,MOs2/3,saline,F,1h,39.955502188089476
524,11,MOs2/3,saline,M,1h,19.977751094044738
525,12,MOs2/3,morphine,M,1h,57.041736676417216
526,13,MOs2/3,saline,M,4h,1.84005602181991
527,14,MOs2/3,morphine,M,1h,180.06262499237693
528,15,MOs2/3,morphine,F,4h,32.85814324678411
529,16,MOs2/3,saline,F,4h,9.988875547022369
530,17,MOs2/3,morphine,M,1h,1.3143257298713644
531,18,MOs2/3,saline,M,1h,8.937414963125278
532,19,MOs2/3,morphine,F,1h,50.47010802706039
533,20,MOs2/3,morphine,F,1h,75.7051620405906
534,21,MOs2/3,morphine,F,1h,13.406122444687917
535,22,MOs2/3,morphine,M,4h,297.3004800969026
536,23,MOs2/3,morphine,M,4h,26.54937974340156
537,24,MOs2/3,saline,F,1h,272.85402152129524
538,25,MOs2/3,saline,F,4h,41.006962771986565
539,26,MOs2/3,saline,F,4h,24.183593429633106
540,0,MOs5,morphine,M,1h,884.5793130040013
541,1,MOs5,morphine,M,4h,99.0481210261916
542,2,MOs5,saline,M,1h,1013.9167031832916
543,3,MOs5,saline,M,4h,225.95352609099956
544,4,MOs5,morphine,F,4h,272.82451193375095
